index,confidence,hypo_step,max_arm_length,num_threads,target,memory_queue,acquisition,terminated,feasible,ml_mape
9444,24.0,3.0,1.0,1.0,-37785.0,5998/11758//1899/1900//1080/14639/16943//0/1//2/13921/16225//3//1116/14663/16967//4838/10598//5713/11473//8935//9444//7152/12912//8593//281//8894//9152//8577//7928/13688//8505//4/13922/16226//6887/12647//8020/13780//8585//8866//8488//7859/13619//4855/10615//6888/12648//8631//272/14101/16405//6009/11769//8006/13766//4284/10044//7590/13350//7015/12775//8756//5//5432/11192//8525//4570/10330//7425/13185//8398//7769/13529//7427/13187//6/13923/16227//2578/15638/17942//5322/11082//4547/10307//7806/13566//8238//6871/12631//7/13924/16228//273//7551/13311//7532/13292//8/13925/16229//8739//6473/12233//6976/12736//7984/13744//6183/11943//6146/11906//9,0.002588405150293988,False,False,0.6388794709206961
7152,24.0,1.0,1.0,9.0,-131931.0,5998/11758//1899/1900//1080/14639/16943//0/1//2/13921/16225//3//1116/14663/16967//4838/10598//5713/11473//8935//9444//7152/12912//8593//281//8894//9152//8577//7928/13688//8505//4/13922/16226//6887/12647//8020/13780//8585//8866//8488//7859/13619//4855/10615//6888/12648//8631//272/14101/16405//6009/11769//8006/13766//4284/10044//7590/13350//7015/12775//8756//5//5432/11192//8525//4570/10330//7425/13185//8398//7769/13529//7427/13187//6/13923/16227//2578/15638/17942//5322/11082//4547/10307//7806/13566//8238//6871/12631//7/13924/16228//273//7551/13311//7532/13292//8/13925/16229//8739//6473/12233//6976/12736//7984/13744//6183/11943//6146/11906//9,0.9806587445675989,False,True,0.0804946390131345
8593,14.0,1.0,1.0,4.0,-109356.0,5998/11758//1899/1900//1080/14639/16943//0/1//2/13921/16225//3//1116/14663/16967//4838/10598//5713/11473//8935//9444//7152/12912//8593//281//8894//9152//8577//7928/13688//8505//4/13922/16226//6887/12647//8020/13780//8585//8866//8488//7859/13619//4855/10615//6888/12648//8631//272/14101/16405//6009/11769//8006/13766//4284/10044//7590/13350//7015/12775//8756//5//5432/11192//8525//4570/10330//7425/13185//8398//7769/13529//7427/13187//6/13923/16227//2578/15638/17942//5322/11082//4547/10307//7806/13566//8238//6871/12631//7/13924/16228//273//7551/13311//7532/13292//8/13925/16229//8739//6473/12233//6976/12736//7984/13744//6183/11943//6146/11906//9,3.560345184406762,False,False,0.438186674788053
281,14.0,2.0,1.0,32.0,-281792.0,5998/11758//1899/1900//1080/14639/16943//0/1//2/13921/16225//3//1116/14663/16967//4838/10598//5713/11473//8935//9444//7152/12912//8593//281//8894//9152//8577//7928/13688//8505//4/13922/16226//6887/12647//8020/13780//8585//8866//8488//7859/13619//4855/10615//6888/12648//8631//272/14101/16405//6009/11769//8006/13766//4284/10044//7590/13350//7015/12775//8756//5//5432/11192//8525//4570/10330//7425/13185//8398//7769/13529//7427/13187//6/13923/16227//2578/15638/17942//5322/11082//4547/10307//7806/13566//8238//6871/12631//7/13924/16228//273//7551/13311//7532/13292//8/13925/16229//8739//6473/12233//6976/12736//7984/13744//6183/11943//6146/11906//9,0.19415852333173567,False,True,0.9391410183412809
8894,64.0,1.0,16.0,2.0,-137890.0,5998/11758//1899/1900//1080/14639/16943//0/1//2/13921/16225//3//1116/14663/16967//4838/10598//5713/11473//8935//9444//7152/12912//8593//281//8894//9152//8577//7928/13688//8505//4/13922/16226//6887/12647//8020/13780//8585//8866//8488//7859/13619//4855/10615//6888/12648//8631//272/14101/16405//6009/11769//8006/13766//4284/10044//7590/13350//7015/12775//8756//5//5432/11192//8525//4570/10330//7425/13185//8398//7769/13529//7427/13187//6/13923/16227//2578/15638/17942//5322/11082//4547/10307//7806/13566//8238//6871/12631//7/13924/16228//273//7551/13311//7532/13292//8/13925/16229//8739//6473/12233//6976/12736//7984/13744//6183/11943//6146/11906//9,0.4416212348679972,False,False,0.7859751369541046
9152,64.0,3.0,1.0,2.0,-39306.0,5998/11758//1899/1900//1080/14639/16943//0/1//2/13921/16225//3//1116/14663/16967//4838/10598//5713/11473//8935//9444//7152/12912//8593//281//8894//9152//8577//7928/13688//8505//4/13922/16226//6887/12647//8020/13780//8585//8866//8488//7859/13619//4855/10615//6888/12648//8631//272/14101/16405//6009/11769//8006/13766//4284/10044//7590/13350//7015/12775//8756//5//5432/11192//8525//4570/10330//7425/13185//8398//7769/13529//7427/13187//6/13923/16227//2578/15638/17942//5322/11082//4547/10307//7806/13566//8238//6871/12631//7/13924/16228//273//7551/13311//7532/13292//8/13925/16229//8739//6473/12233//6976/12736//7984/13744//6183/11943//6146/11906//9,0.4352093954027161,False,False,0.5344280840780455
8577,54.0,3.0,1.0,4.0,-41504.0,5998/11758//1899/1900//1080/14639/16943//0/1//2/13921/16225//3//1116/14663/16967//4838/10598//5713/11473//8935//9444//7152/12912//8593//281//8894//9152//8577//7928/13688//8505//4/13922/16226//6887/12647//8020/13780//8585//8866//8488//7859/13619//4855/10615//6888/12648//8631//272/14101/16405//6009/11769//8006/13766//4284/10044//7590/13350//7015/12775//8756//5//5432/11192//8525//4570/10330//7425/13185//8398//7769/13529//7427/13187//6/13923/16227//2578/15638/17942//5322/11082//4547/10307//7806/13566//8238//6871/12631//7/13924/16228//273//7551/13311//7532/13292//8/13925/16229//8739//6473/12233//6976/12736//7984/13744//6183/11943//6146/11906//9,10.720907990545815,False,True,0.5248277754456884
7928,64.0,3.0,5.0,6.0,-66072.0,5998/11758//1899/1900//1080/14639/16943//0/1//2/13921/16225//3//1116/14663/16967//4838/10598//5713/11473//8935//9444//7152/12912//8593//281//8894//9152//8577//7928/13688//8505//4/13922/16226//6887/12647//8020/13780//8585//8866//8488//7859/13619//4855/10615//6888/12648//8631//272/14101/16405//6009/11769//8006/13766//4284/10044//7590/13350//7015/12775//8756//5//5432/11192//8525//4570/10330//7425/13185//8398//7769/13529//7427/13187//6/13923/16227//2578/15638/17942//5322/11082//4547/10307//7806/13566//8238//6871/12631//7/13924/16228//273//7551/13311//7532/13292//8/13925/16229//8739//6473/12233//6976/12736//7984/13744//6183/11943//6146/11906//9,5.478926061667447,False,True,0.4600213537257348
8505,54.0,3.0,5.0,4.0,-50924.0,5998/11758//1899/1900//1080/14639/16943//0/1//2/13921/16225//3//1116/14663/16967//4838/10598//5713/11473//8935//9444//7152/12912//8593//281//8894//9152//8577//7928/13688//8505//4/13922/16226//6887/12647//8020/13780//8585//8866//8488//7859/13619//4855/10615//6888/12648//8631//272/14101/16405//6009/11769//8006/13766//4284/10044//7590/13350//7015/12775//8756//5//5432/11192//8525//4570/10330//7425/13185//8398//7769/13529//7427/13187//6/13923/16227//2578/15638/17942//5322/11082//4547/10307//7806/13566//8238//6871/12631//7/13924/16228//273//7551/13311//7532/13292//8/13925/16229//8739//6473/12233//6976/12736//7984/13744//6183/11943//6146/11906//9,18.798120370927343,False,True,0.28642201090995506
4,24.0,3.0,16.0,32.0,-242112.0,5998/11758//1899/1900//1080/14639/16943//0/1//2/13921/16225//3//1116/14663/16967//4838/10598//5713/11473//8935//9444//7152/12912//8593//281//8894//9152//8577//7928/13688//8505//4/13922/16226//6887/12647//8020/13780//8585//8866//8488//7859/13619//4855/10615//6888/12648//8631//272/14101/16405//6009/11769//8006/13766//4284/10044//7590/13350//7015/12775//8756//5//5432/11192//8525//4570/10330//7425/13185//8398//7769/13529//7427/13187//6/13923/16227//2578/15638/17942//5322/11082//4547/10307//7806/13566//8238//6871/12631//7/13924/16228//273//7551/13311//7532/13292//8/13925/16229//8739//6473/12233//6976/12736//7984/13744//6183/11943//6146/11906//9,1.0,False,True,0.8646025117864534
