#vm,ram,time,-cost
13,0.2,509608,-6624904
15,0.2,447007,-6705105
15,0.2,485766,-7286490
15,0.2,446442,-6696630
15,0.2,449230,-6738450
15,0.2,485772,-7286580
15,0.2,487712,-7315680
15,0.2,450482,-6757230
15,0.2,453631,-6804465
15,0.2,449138,-6737070
16,0.2,455506,-7288096
16,0.2,418421,-6694736
16,0.2,417121,-6673936
16,0.2,420905,-6734480
16,0.2,421236,-6739776
16,0.2,416372,-6661952
16,0.2,423855,-6781680
16,0.2,460743,-7371888
16,0.2,421222,-6739552
16,0.2,418943,-6703088
16,0.2,422101,-6753616
16,0.2,418588,-6697408
16,0.2,421852,-6749632
16,0.2,462474,-7399584
16,0.2,419641,-6714256
17,0.2,400114,-6801938
17,0.2,396170,-6734890
17,0.2,393786,-6694362
17,0.2,400963,-6816371
17,0.2,398251,-6770267
17,0.2,395452,-6722684
17,0.2,395514,-6723738
17,0.2,396692,-6743764
17,0.2,397449,-6756633
17,0.2,398029,-6766493
17,0.2,397314,-6754338
17,0.2,399614,-6793438
17,0.2,394566,-6707622
17,0.2,397685,-6760645
17,0.2,400988,-6816796
17,0.2,403828,-6865076
17,0.2,395524,-6723908
18,0.2,380502,-6849036
18,0.2,373682,-6726276
18,0.2,382492,-6884856
18,0.2,376749,-6781482
18,0.2,374894,-6748092
18,0.2,381099,-6859782
18,0.2,373294,-6719292
18,0.2,372521,-6705378
18,0.2,379515,-6831270
18,0.2,382115,-6878070
18,0.2,381393,-6865074
18,0.2,374724,-6745032
18,0.2,376762,-6781716
18,0.2,378575,-6814350
18,0.2,378662,-6815916
18,0.2,378901,-6820218
18,0.2,380285,-6845130
18,0.2,372382,-6702876
18,0.2,374647,-6743646
18,0.2,381993,-6875874
18,0.2,382339,-6882102
18,0.2,375117,-6752106
18,0.2,377120,-6788160
19,0.2,386537,-7344203
19,0.2,369359,-7017821
19,0.2,367697,-6986243
19,0.2,390662,-7422578
19,0.2,392966,-7466354
19,0.2,391356,-7435764
19,0.2,361419,-6866961
19,0.2,387603,-7364457
19,0.2,385285,-7320415
19,0.2,355834,-6760846
19,0.2,363179,-6900401
19,0.2,366001,-6954019
19,0.2,364147,-6918793
20,0.2,345598,-6911960
20,0.2,378018,-7560360
20,0.2,346369,-6927380
20,0.2,381026,-7620520
20,0.2,347957,-6959140
20,0.2,373557,-7471140
20,0.2,348116,-6962320
20,0.2,357971,-7159420
20,0.2,347062,-6941240
20,0.2,347004,-6940080
20,0.2,354698,-7093960
20,0.2,350881,-7017620
20,0.2,351607,-7032140
20,0.2,348411,-6968220
20,0.2,349861,-6997220
20,0.2,354241,-7084820
20,0.2,351586,-7031720
20,0.2,349289,-6985780
20,0.2,367074,-7341480
20,0.2,350376,-7007520
20,0.2,346871,-6937420
20,0.2,345869,-6917380
