ml_bounds,ml_target,consider_only_true_max,epsilon_greedy,adaptive_method_kernel,af,threshold,error (%),std_dev (%),error_cleaned (%),std_dev_cleaned (%),feasible_values_found (%),avg_time (sec)
indicator,product,True,True,Matern,ucb,300,18.918,31.266,18.918,31.266,100.0,6.578
indicator,product,True,False,None,ei,300,11.143,25.575,11.143,25.575,100.0,7.312
indicator,product,True,False,RBF,ei,300,25.712,37.888,25.712,37.888,100.0,24.725
indicator,product,True,False,RBF,ucb,300,23.891,32.283,23.891,32.283,100.0,54.277
indicator,product,True,False,Matern,ei,300,32.038,37.198,32.038,37.198,100.0,6.124
indicator,product,True,False,Matern,ucb,300,28.264,34.395,28.264,34.395,100.0,4.3
indicator,product,False,True,None,ei,300,12.634,24.866,12.634,24.866,100.0,5.916
indicator,product,False,True,RBF,ei,300,27.752,35.657,27.752,35.657,100.0,21.381
indicator,product,False,True,RBF,ucb,300,25.827,34.118,25.827,34.118,100.0,43.295
indicator,product,False,True,Matern,ei,300,22.543,33.526,22.543,33.526,100.0,6.617
indicator,product,False,True,Matern,ucb,300,18.918,31.266,18.918,31.266,100.0,6.654
indicator,product,False,False,None,ei,300,11.143,25.575,11.143,25.575,100.0,6.824
indicator,product,False,False,RBF,ei,300,28.552,33.335,28.552,33.335,100.0,23.098
indicator,product,False,False,RBF,ucb,300,26.413,33.136,26.413,33.136,100.0,50.838
indicator,product,False,False,Matern,ei,300,32.038,37.198,32.038,37.198,100.0,6.551
indicator,product,False,False,Matern,ucb,300,28.264,34.395,28.264,34.395,100.0,6.717
probability,None,True,True,None,ei,300,20.662,32.103,20.662,32.103,100.0,6.469
probability,None,True,True,RBF,ei,300,16.692,28.876,16.692,28.876,100.0,20.964
probability,None,True,True,RBF,ucb,300,37.511,35.653,37.511,35.653,100.0,42.194
probability,None,True,True,Matern,ei,300,22.207,32.594,22.207,32.594,100.0,6.722
probability,None,True,True,Matern,ucb,300,30.675,34.924,30.675,34.924,100.0,6.609
probability,None,True,False,None,ei,300,5.425,19.86,5.425,19.86,100.0,6.911
probability,None,True,False,RBF,ei,300,32.273,35.215,32.273,35.215,100.0,22.296
probability,None,True,False,RBF,ucb,300,38.764,34.973,38.764,34.973,100.0,49.545
probability,None,True,False,Matern,ei,300,15.126,31.423,15.126,31.423,100.0,6.726
probability,None,True,False,Matern,ucb,300,29.967,35.573,29.967,35.573,100.0,6.822
probability,None,False,True,None,ei,300,20.662,32.103,20.662,32.103,100.0,6.162
probability,None,False,True,RBF,ei,300,15.753,27.686,15.753,27.686,100.0,21.23
probability,None,False,True,RBF,ucb,300,39.464,35.499,39.464,35.499,100.0,46.155
probability,None,False,True,Matern,ei,300,22.207,32.594,22.207,32.594,100.0,6.722
probability,None,False,True,Matern,ucb,300,30.675,34.924,30.675,34.924,100.0,6.499
probability,None,False,False,None,ei,300,5.425,19.86,5.425,19.86,100.0,7.465
probability,None,False,False,RBF,ei,300,31.525,39.52,31.525,39.52,100.0,23.277
probability,None,False,False,RBF,ucb,300,42.004,35.414,42.004,35.414,100.0,48.818
probability,None,False,False,Matern,ei,300,15.126,31.423,15.126,31.423,100.0,7.305
probability,None,False,False,Matern,ucb,300,29.967,35.573,29.967,35.573,100.0,5.825
probability,indicator,True,True,None,ei,300,20.694,32.316,20.694,32.316,100.0,6.757
probability,indicator,True,True,RBF,ei,300,11.829,24.851,11.829,24.851,100.0,21.439
probability,indicator,True,True,RBF,ucb,300,28.985,35.183,28.985,35.183,100.0,48.006
probability,indicator,True,True,Matern,ei,300,21.378,31.407,21.378,31.407,100.0,8.59
probability,indicator,True,True,Matern,ucb,300,28.655,35.537,28.655,35.537,100.0,11.081
probability,indicator,True,False,None,ei,300,8.778,21.152,8.778,21.152,100.0,8.325
probability,indicator,True,False,RBF,ei,300,32.042,38.563,32.042,38.563,100.0,24.704
probability,indicator,True,False,RBF,ucb,300,23.451,33.996,23.451,33.996,100.0,50.524
probability,indicator,True,False,Matern,ei,300,21.131,33.908,21.131,33.908,100.0,4.798
probability,indicator,True,False,Matern,ucb,300,24.866,33.661,24.866,33.661,100.0,4.53
probability,indicator,False,True,None,ei,300,20.694,32.316,20.694,32.316,100.0,6.659
probability,indicator,False,True,RBF,ei,300,8.818,21.536,8.818,21.536,100.0,21.31
probability,indicator,False,True,RBF,ucb,300,29.983,37.773,29.983,37.773,100.0,49.221
probability,indicator,False,True,Matern,ei,300,21.378,31.407,21.378,31.407,100.0,8.296
probability,indicator,False,True,Matern,ucb,300,28.655,35.537,28.655,35.537,100.0,10.776
probability,indicator,False,False,None,ei,300,8.778,21.152,8.778,21.152,100.0,7.922
probability,indicator,False,False,RBF,ei,300,29.738,39.032,29.738,39.032,100.0,23.564
probability,indicator,False,False,RBF,ucb,300,19.429,29.932,19.429,29.932,100.0,52.244
probability,indicator,False,False,Matern,ei,300,21.131,33.908,21.131,33.908,100.0,4.619
probability,indicator,False,False,Matern,ucb,300,24.866,33.661,24.866,33.661,100.0,3.991
probability,probability,True,True,None,ei,300,17.832,31.211,17.832,31.211,100.0,7.546
probability,probability,True,True,RBF,ei,300,19.422,33.133,19.422,33.133,100.0,21.565
probability,probability,True,True,RBF,ucb,300,30.414,36.933,30.414,36.933,100.0,38.529
probability,probability,True,True,Matern,ei,300,11.196,24.103,11.196,24.103,100.0,7.658
probability,probability,True,True,Matern,ucb,300,26.717,36.267,26.717,36.267,100.0,6.829
probability,probability,True,False,None,ei,300,10.754,27.095,10.754,27.095,100.0,7.546
probability,probability,True,False,RBF,ei,300,27.448,32.884,27.448,32.884,100.0,23.932
probability,probability,True,False,RBF,ucb,300,23.162,34.397,23.162,34.397,100.0,43.423
probability,probability,True,False,Matern,ei,300,16.496,30.562,16.496,30.562,100.0,8.112
probability,probability,True,False,Matern,ucb,300,26.603,34.421,26.603,34.421,100.0,7.663
probability,probability,False,True,None,ei,300,17.832,31.211,17.832,31.211,100.0,7.341
probability,probability,False,True,RBF,ei,300,20.804,33.502,20.804,33.502,100.0,22.433
probability,probability,False,True,RBF,ucb,300,29.026,35.072,29.026,35.072,100.0,37.378
probability,probability,False,True,Matern,ei,300,11.196,24.103,11.196,24.103,100.0,7.992
probability,probability,False,True,Matern,ucb,300,26.717,36.267,26.717,36.267,100.0,7.058
probability,probability,False,False,None,ei,300,10.754,27.095,10.754,27.095,100.0,7.335
probability,probability,False,False,RBF,ei,300,26.581,33.665,26.581,33.665,100.0,23.722
probability,probability,False,False,RBF,ucb,300,26.311,36.345,26.311,36.345,100.0,45.843
probability,probability,False,False,Matern,ei,300,16.496,30.562,16.496,30.562,100.0,8.524
probability,probability,False,False,Matern,ucb,300,26.603,34.421,26.603,34.421,100.0,7.745
probability,sum,True,True,None,ei,300,18.934,31.138,18.934,31.138,100.0,6.816
probability,sum,True,True,RBF,ei,300,20.678,32.466,20.678,32.466,100.0,21.16
probability,sum,True,True,RBF,ucb,300,19.579,33.669,19.579,33.669,100.0,38.249
probability,sum,True,True,Matern,ei,300,27.244,34.637,27.244,34.637,100.0,7.839
probability,sum,True,True,Matern,ucb,300,26.597,34.606,26.597,34.606,100.0,8.868
probability,sum,True,False,None,ei,300,4.9,17.792,4.9,17.792,100.0,7.377
probability,sum,True,False,RBF,ei,300,23.72,38.921,23.72,38.921,100.0,23.106
probability,sum,True,False,RBF,ucb,300,27.276,35.026,27.276,35.026,100.0,47.6
probability,sum,True,False,Matern,ei,300,12.443,29.076,12.443,29.076,100.0,7.463
probability,sum,True,False,Matern,ucb,300,30.165,33.438,30.165,33.438,100.0,9.398
probability,sum,False,True,None,ei,300,18.934,31.138,18.934,31.138,100.0,6.827
probability,sum,False,True,RBF,ei,300,20.511,32.07,20.511,32.07,100.0,21.381
probability,sum,False,True,RBF,ucb,300,20.385,32.744,20.385,32.744,100.0,40.733
probability,sum,False,True,Matern,ei,300,27.244,34.637,27.244,34.637,100.0,7.273
probability,sum,False,True,Matern,ucb,300,26.597,34.606,26.597,34.606,100.0,8.661
probability,sum,False,False,None,ei,300,4.9,17.792,4.9,17.792,100.0,7.563
probability,sum,False,False,RBF,ei,300,24.629,38.366,24.629,38.366,100.0,23.647
probability,sum,False,False,RBF,ucb,300,34.14,36.505,34.14,36.505,100.0,44.283
probability,sum,False,False,Matern,ei,300,12.443,29.076,12.443,29.076,100.0,7.391
probability,sum,False,False,Matern,ucb,300,30.165,33.438,30.165,33.438,100.0,8.907
probability,product,True,True,None,ei,300,23.441,34.803,23.441,34.803,100.0,6.593
probability,product,True,True,RBF,ei,300,13.405,26.035,13.405,26.035,100.0,21.857
probability,product,True,True,RBF,ucb,300,16.059,29.925,16.059,29.925,100.0,45.408
probability,product,True,True,Matern,ei,300,29.357,33.815,29.357,33.815,100.0,7.091
probability,product,True,True,Matern,ucb,300,31.184,35.764,31.184,35.764,100.0,8.588
probability,product,True,False,None,ei,300,12.69,28.097,12.69,28.097,100.0,8.175
probability,product,True,False,RBF,ei,300,24.914,36.903,24.914,36.903,100.0,23.002
probability,product,True,False,RBF,ucb,300,30.053,37.901,30.053,37.901,100.0,47.194
probability,product,True,False,Matern,ei,300,7.302,23.035,7.302,23.035,100.0,7.382
probability,product,True,False,Matern,ucb,300,20.452,31.412,20.452,31.412,100.0,6.343
probability,product,False,True,None,ei,300,23.441,34.803,23.441,34.803,100.0,6.729
probability,product,False,True,RBF,ei,300,17.058,29.559,17.058,29.559,100.0,22.009
probability,product,False,True,RBF,ucb,300,24.584,32.567,24.584,32.567,100.0,43.388
probability,product,False,True,Matern,ei,300,29.357,33.815,29.357,33.815,100.0,6.953
probability,product,False,True,Matern,ucb,300,31.184,35.764,31.184,35.764,100.0,8.536
probability,product,False,False,None,ei,300,12.69,28.097,12.69,28.097,100.0,7.64
probability,product,False,False,RBF,ei,300,24.291,37.031,24.291,37.031,100.0,23.521
probability,product,False,False,RBF,ucb,300,32.833,38.615,32.833,38.615,100.0,45.263
probability,product,False,False,Matern,ei,300,7.302,23.035,7.302,23.035,100.0,7.174
probability,product,False,False,Matern,ucb,300,20.452,31.412,20.452,31.412,100.0,7.519
